"Exchange,Date,StartTime,EndTime,DayState"
"BSE,20250110,,,OFF"
"BSE,20250114,,,OFF"
"BSE,20250118,,,OFF"
"BSE,20250101,,,OFF"
"BSE,20250115,,,OFF"
"BSE,20250127,,,OFF"
"BSE,20250102,,,OFF"
"BSE,20250121,,,OFF"
"BSE,20250122,,,OFF"
"BSE,20250105,,,OFF"
"BSE,20250125,,,OFF"
"CDS,20250126,,,OFF"
"CDS,20250114,,,OFF"
"CDS,20250131,,,OFF"
"CDS,20250110,,,OFF"
"CDS,20250114,,,OFF"
"CDS,20250118,,,OFF"
"CDS,20250101,,,OFF"
"CDS,20250115,,,OFF"
"CDS,20250127,,,OFF"
"CDS,20250102,,,OFF"
"CDS,20250121,,,OFF"
"CDS,20250122,,,OFF"
"CDS,20250105,,,OFF"
"CDS,20250125,,,OFF"
"MCX,20250101,,,OFF"
"MCX,20250126,,,OFF"
"MCX,20250114,,,OFF"
"MCX,20250131,,,OFF"
"MCX,20250110,,,OFF"
"MCX,20250114,,,OFF"
"MCX,20250118,,,OFF"
"MCX,20250101,,,OFF"
"MCX,20250115,,,OFF"
"MCX,20250127,,,OFF"
"MCX,20250102,,,OFF"
"MCX,20250121,,,OFF"
"MCX,20250122,,,OFF"
"MCX,20250105,,,OFF"
"MCX,20250125,,,OFF"
"MCX,20250101,0900,1700,ON"
"MCX,20250126,1700,2330,ON"
"MCX,20250114,1700,2330,ON"
"MCX,20250131,1700,2330,ON"
"MCX,20250110,1700,2330,ON"
"MCX,20250114,1700,2330,ON"
"MCX,20250101,1700,2330,ON"
"MCX,20250127,1700,2330,ON"
"MCX,20250122,1700,2330,ON"
"MCX,20250105,1700,2330,ON"
"NSE,20260115,,,OFF"
"NSE,20260126,,,OFF"
"NSE,20260103,,,OFF"
"NSE,20260126,,,OFF"
"NSE,20260131,,,OFF"
"NSE,20260103,,,OFF"
"NSE,20260114,,,OFF"
"NSE,20260101,,,OFF"
"NSE,20260128,,,OFF"
"NSE,20260126,,,OFF"
"NSE,20260114,,,OFF"
"NSE,20260102,,,OFF"
"NSE,20260120,,,OFF"
"NSE,20260110,,,OFF"
"NSE,20260124,,,OFF"
"NSE,20260125,,,OFF"
"BSE,20260115,,,OFF"
"BSE,20260126,,,OFF"
"BSE,20260103,,,OFF"
"BSE,20260126,,,OFF"
"BSE,20260131,,,OFF"
"BSE,20260103,,,OFF"
"BSE,20260114,,,OFF"
"BSE,20260101,,,OFF"
"BSE,20260128,,,OFF"
"BSE,20260126,,,OFF"
"BSE,20260114,,,OFF"
"BSE,20260102,,,OFF"
"BSE,20260120,,,OFF"
"BSE,20260110,,,OFF"
"BSE,20260124,,,OFF"
"BSE,20260125,,,OFF"
"CDS,20260115,,,OFF"
"CDS,20260126,,,OFF"
"CDS,20260119,,,OFF"
"CDS,20260103,,,OFF"
"CDS,20260119,,,OFF"
"CDS,20260126,,,OFF"
"CDS,20260131,,,OFF"
"CDS,20260101,,,OFF"
"CDS,20260103,,,OFF"
"CDS,20260114,,,OFF"
"CDS,20260101,,,OFF"
"CDS,20260128,,,OFF"
"CDS,20260126,,,OFF"
"CDS,20260126,,,OFF"
"CDS,20260114,,,OFF"
"CDS,20260102,,,OFF"
"CDS,20260120,,,OFF"
"CDS,20260110,,,OFF"
"CDS,20260124,,,OFF"
"CDS,20260125,,,OFF"
"MCX,20260101,,,OFF"
"MCX,20260115,,,OFF"
"MCX,20260126,,,OFF"
"MCX,20260103,,,OFF"
"MCX,20260126,,,OFF"
"MCX,20260131,,,OFF"
"MCX,20260103,,,OFF"
"MCX,20260114,,,OFF"
"MCX,20260101,,,OFF"
"MCX,20260128,,,OFF"
"MCX,20260126,,,OFF"
"MCX,20260114,,,OFF"
"MCX,20260102,,,OFF"
"MCX,20260120,,,OFF"
"MCX,20260110,,,OFF"
"MCX,20260124,,,OFF"
"MCX,20260125,,,OFF"
"MCX,20260101,0900,1700,ON"
"MCX,20260115,1700,2330,ON"
"MCX,20260103,1700,2330,ON"
"MCX,20260126,1700,2330,ON"
"MCX,20260131,1700,2330,ON"
"MCX,20260114,1700,2330,ON"
"MCX,20260101,1700,2330,ON"
"MCX,20260128,1700,2330,ON"
"MCX,20260126,1700,2330,ON"
"MCX,20260114,1700,2330,ON"
"MCX,20260120,1700,2330,ON"
"MCX,20260110,1700,2330,ON"
"MCX,20260124,1700,2330,ON"
